Tiempo (s),SP (LIC203),PV (LE203),CV (LCV203)
85.8,80.0,84.82894897460938,15.098844528198242
86.81,80.0,84.82306671142578,15.092782974243164
87.81,80.0,84.82306671142578,15.036316871643066
88.82,80.0,84.81913757324219,15.073147773742676
89.83,80.0,84.81717681884766,15.072225570678711
90.83,80.0,84.79951477050781,15.217704772949219
91.83,80.0,84.7857666015625,15.193537712097168
92.84,80.0,84.78184509277344,15.156120300292969
93.85,80.0,84.78184509277344,15.124797821044922
94.85,80.0,84.78380584716797,15.111091613769531
95.86,80.0,84.78380584716797,15.106287956237793
96.86,80.0,84.76221466064453,15.284582138061523
97.87,80.0,84.75239562988281,15.221511840820312
98.88,80.0,84.75044250488281,15.181112289428711
99.89,80.0,84.74847412109375,15.162842750549316
100.9,80.0,84.75044250488281,15.157652854919434
101.9,80.0,84.74847412109375,15.171380996704102
102.91,80.0,84.71510314941406,15.425679206848145
103.92,80.0,84.69744110107422,15.365026473999023
104.94,80.0,84.68959045410156,15.326041221618652
105.94,80.0,84.68370056152344,15.331400871276855
106.95,80.0,84.6581802368164,15.528676986694336
107.96,80.0,84.6424789428711,15.451346397399902
108.96,80.0,84.64051818847656,15.407768249511719
109.97,80.0,84.64051818847656,15.391742706298828
110.97,80.0,84.61892700195312,15.51658821105957
111.98,80.0,84.61106872558594,15.475865364074707
112.98,80.0,84.60714721679688,15.452589988708496
113.98,80.0,84.57769775390625,15.624678611755371
114.99,80.0,84.56199645996094,15.690995216369629
116.0,80.0,84.53451538085938,15.755460739135742
117.01,80.0,84.516845703125,15.82045841217041
118.02,80.0,84.48741149902344,15.860190391540527
119.02,80.0,84.45796203613281,15.97817325592041
120.03,80.0,84.44029235839844,15.952717781066895
121.03,80.0,84.40888977050781,16.052282333374023
122.04,80.0,84.37551879882812,16.217300415039062
123.04,80.0,84.33430480957031,16.348730087280273
124.05,80.0,84.30093383789062,16.303911209106445
125.05,80.0,84.26559448242188,16.413583755493164
126.06,80.0,84.22045135498047,16.60674285888672
127.06,80.0,84.1968994140625,16.524105072021484
128.06,80.0,84.15959930419922,16.66415786743164
129.07,80.0,84.13407897949219,16.698518753051758
130.08,80.0,84.11052703857422,16.744421005249023
131.08,80.0,84.08893585205078,16.857389450073242
132.08,80.0,84.06145477294922,16.84186553955078
133.09,80.0,84.05360412597656,16.79850959777832
134.09,80.0,84.03201293945312,16.93153190612793
135.1,80.0,84.02220153808594,16.851276397705078
136.1,80.0,84.02220153808594,16.791980743408203
137.11,80.0,84.01434326171875,16.91720962524414
138.11,80.0,83.99667358398438,16.93779945373535
139.11,80.0,83.99472045898438,16.859928131103516
140.12,80.0,83.99472045898438,16.858308792114258
141.13,80.0,83.99864196777344,16.815105438232422
142.14,80.0,83.97312927246094,17.051654815673828
143.14,80.0,83.9574203491211,17.009475708007812
144.15,80.0,83.9534912109375,16.959346771240234
145.15,80.0,83.95153045654297,16.952836990356445
146.16,80.0,83.93778991699219,17.050111770629883
147.16,80.0,83.92012023925781,17.097209930419922
148.16,80.0,83.91227722167969,17.071027755737305
149.17,80.0,83.91030883789062,17.045894622802734
150.18,80.0,83.90049743652344,17.071996688842773
151.18,80.0,83.8749771118164,17.21358871459961
152.19,80.0,83.86516571044922,17.18598175048828
153.2,80.0,83.86320495605469,17.139738082885742
154.2,80.0,83.8553466796875,17.231182098388672
155.2,80.0,83.82394409179688,17.356670379638672
156.21,80.0,83.81413269042969,17.290681838989258
157.21,80.0,83.8102035522461,17.26195526123047
158.22,80.0,83.8102035522461,17.243085861206055
159.23,80.0,83.81216430664062,17.218050003051758
160.24,80.0,83.81608581542969,17.19842529296875
161.24,80.0,83.82002258300781,17.18960189819336
162.24,80.0,83.82394409179688,17.166522979736328
163.25,80.0,83.8102035522461,17.33774757385254
164.25,80.0,83.79057312011719,17.349872589111328
165.25,80.0,83.7768325805664,17.331153869628906
166.26,80.0,83.74739074707031,17.508371353149414
167.27,80.0,83.71598815917969,17.685426712036133
168.27,80.0,83.68653869628906,17.654651641845703
169.28,80.0,83.64727783203125,17.781530380249023
170.29,80.0,83.62372589111328,17.83472442626953
171.3,80.0,83.59428405761719,17.882646560668945
172.3,80.0,83.55502319335938,17.988828659057617
173.31,80.0,83.52558135986328,18.09375
174.32,80.0,83.49810028076172,18.1370849609375
175.33,80.0,83.47257995605469,18.1458740234375
176.34,80.0,83.44117736816406,18.187406539916992
177.34,80.0,83.4097671508789,18.289703369140625
178.35,80.0,83.37443542480469,18.445302963256836
179.35,80.0,83.33517456054688,18.5566349029541
180.36,80.0,83.30377197265625,18.584333419799805
181.36,80.0,83.27040100097656,18.7172794342041
182.36,80.0,83.23114013671875,18.77427101135254
183.37,80.0,83.18599700927734,18.888565063476562
184.37,80.0,83.16047668457031,18.89414405822754
185.38,80.0,83.13299560546875,18.95317268371582
186.38,80.0,83.09373474121094,19.170795440673828
187.39,80.0,83.0721435546875,19.089189529418945
188.39,80.0,83.03877258300781,19.199018478393555
189.39,80.0,83.02503967285156,19.17388916015625
190.4,80.0,82.9936294555664,19.298973083496094
191.4,80.0,82.98185729980469,19.24144172668457
192.4,80.0,82.96614837646484,19.37160301208496
193.41,80.0,82.94062805175781,19.37857437133789
194.41,80.0,82.93278503417969,19.324026107788086
195.43,80.0,82.90725708007812,19.453763961791992
196.43,80.0,82.89744567871094,19.423812866210938
197.44,80.0,82.8758544921875,19.560684204101562
198.45,80.0,82.86407470703125,19.486583709716797
199.45,80.0,82.89155578613281,19.2955322265625
200.46,80.0,82.90333557128906,19.289031982421875
201.46,80.0,82.90922546386719,19.308040618896484
202.46,80.0,82.91314697265625,19.301603317260742
203.47,80.0,82.91511535644531,19.30681800842285
204.47,80.0,82.91511535644531,19.307586669921875
