Tiempo (s),SP (LIC203),PV (LE203),CV (LCV203)
236.4,85.0,87.50244140625,19.55846405029297
237.4,85.0,87.54759216308594,19.43967628479004
238.41,85.0,87.58685302734375,19.32086753845215
239.41,85.0,87.61040496826172,19.25606346130371
240.42,85.0,87.62610626220703,19.212848663330078
241.43,85.0,87.65751647949219,19.126436233520508
242.44,85.0,87.67124938964844,19.088634490966797
243.44,85.0,87.67713928222656,19.07240104675293
244.45,85.0,87.68302917480469,19.056167602539062
245.45,85.0,87.70462036132812,18.996755599975586
246.45,85.0,87.73014068603516,18.926538467407227
247.46,85.0,87.73995971679688,18.89950180053711
248.46,85.0,87.74388122558594,18.888681411743164
249.47,85.0,87.74388122558594,18.88864517211914
250.49,85.0,87.7419204711914,18.888608932495117
251.5,85.0,87.73995971679688,18.899356842041016
252.5,85.0,87.72817993164062,18.915517807006836
253.51,85.0,87.69480895996094,19.023448944091797
254.51,85.0,87.68302917480469,19.05580711364746
255.52,85.0,87.67910766601562,19.066556930541992
256.52,85.0,87.67713928222656,19.06652069091797
